date,net_daily_pnl,gross_exposure,active_pairs,fold_id,active_pairs_possible,cumulative_pnl,equity,daily_return,gross_exposure_pct
2025-09-29,-52.43250856207688,10000.0,1,1,5,-192.28801507708965,99807.7119849229,-0.0005243250856207688,0.1
2025-09-30,51.266021064061036,10000.0,1,1,5,-141.02199401302863,99858.97800598697,0.0005126602106406104,0.1
2025-10-01,-71.12872892151069,10000.0,1,1,5,-212.15072293453932,99787.84927706546,-0.0007112872892151068,0.1
2025-10-02,28.5999611012514,10000.0,1,1,5,-183.5507618332879,99816.44923816671,0.00028599961101251397,0.1
2025-10-03,-174.85477466097234,10000.0,1,1,5,-358.4055364942602,99641.59446350574,-0.0017485477466097233,0.1
2025-10-06,-18.855874852823078,10000.0,1,1,5,-377.2614113470833,99622.73858865292,-0.0001885587485282308,0.1
2025-10-07,55.152759586661666,10000.0,1,1,5,-322.10865176042165,99677.89134823957,0.0005515275958666167,0.1
2025-10-08,-43.85379731201553,10000.0,1,1,5,-365.96244907243715,99634.03755092756,-0.0004385379731201553,0.1
2025-10-09,-168.04564185100713,0.0,0,1,5,-534.0080909234443,99465.99190907656,-0.0016804564185100713,0.0
2025-10-10,-2.0,10000.0,1,1,5,-536.0080909234443,99463.99190907656,-2e-05,0.1
2025-10-13,-77.90701476567594,0.0,0,1,5,-613.9151056891203,99386.08489431089,-0.0007790701476567594,0.0
2025-10-14,-2.0,10000.0,1,1,5,-615.9151056891203,99384.08489431089,-2e-05,0.1
2025-10-15,-67.50989541402026,10000.0,1,1,5,-683.4250011031406,99316.57499889686,-0.0006750989541402027,0.1
2025-10-16,-103.82734665425406,20000.0,2,1,5,-787.2523477573947,99212.7476522426,-0.0010382734665425406,0.2
2025-10-17,-17.277763438268764,10000.0,1,1,5,-804.5301111956634,99195.46988880433,-0.00017277763438268765,0.1
2025-10-20,-63.79830386280802,30000.0,3,1,5,-868.3284150584714,99131.67158494153,-0.0006379830386280802,0.3
2025-10-21,193.2191968422194,30000.0,3,1,5,-675.109218216252,99324.89078178375,0.001932191968422194,0.3
2025-10-22,460.92350139363197,20000.0,2,1,5,-214.18571682262,99785.81428317737,0.00460923501393632,0.2
2025-10-23,136.4033611289789,20000.0,2,1,5,-77.78235569364111,99922.21764430637,0.001364033611289789,0.2
2025-10-24,-1.5698161752061957,20000.0,2,1,5,-79.35217186884731,99920.64782813116,-1.5698161752061958e-05,0.2
2025-10-27,89.61039533780928,20000.0,2,1,5,10.258223468961972,100010.25822346896,0.0008961039533780928,0.2
2025-10-28,-184.91236910535133,20000.0,2,1,5,-174.65414563638936,99825.34585436361,-0.0018491236910535133,0.2
2025-10-29,-94.44895151417245,20000.0,2,1,5,-269.1030971505618,99730.89690284943,-0.0009444895151417245,0.2
2025-10-30,-117.0448429356761,20000.0,2,1,5,-386.1479400862379,99613.85205991376,-0.001170448429356761,0.2
2025-10-31,122.00565581326346,20000.0,2,1,5,-264.14228427297445,99735.85771572702,0.0012200565581326347,0.2
2025-11-03,-64.40508401388806,20000.0,2,1,5,-328.5473682868625,99671.45263171314,-0.0006440508401388806,0.2
2025-11-04,-33.100606178577735,10000.0,1,1,5,-361.6479744654402,99638.35202553456,-0.00033100606178577735,0.1
2025-11-05,-102.43899221698135,10000.0,1,1,5,-464.0869666824216,99535.91303331759,-0.0010243899221698135,0.1
2025-11-06,44.74933207901202,10000.0,1,1,5,-419.3376346034096,99580.6623653966,0.0004474933207901202,0.1
2025-11-07,35.78857289089448,10000.0,1,1,5,-383.5490617125151,99616.45093828748,0.00035788572890894477,0.1
2025-11-10,-112.4523672058142,0.0,0,1,5,-496.0014289183293,99503.99857108167,-0.0011245236720581419,0.0
2025-11-11,0.0,0.0,0,1,5,-496.0014289183293,99503.99857108167,0.0,0.0
