ticker_a,ticker_b,asset_class,group,subgroup,candidate_tier,overlap_days,return_corr,passes_pair_filter,n_obs,coint_stat,coint_pvalue,adf_stat,adf_pvalue,hedge_ratio,intercept,half_life_days,spread_mean,spread_std,passes_coint_filter,rank_score
FHLC,IHF,equity,sector,healthcare,same_subgroup,2512,0.7955439549962985,True,2512,-1.9875050986963123,0.5350667061471996,-1.9857835971728774,0.29284107293968453,0.9841387374194692,0.2848942618116075,154.5153804494464,5.9224998238960325e-08,0.07826781272888184,False,1090.0
IYR,USRT,equity,sector,real_estate,same_subgroup,2512,0.983239028605143,True,2512,-1.573368015069476,0.7319986803648453,-1.572832756570384,0.49722452603366507,0.8940602053008222,0.941627635159243,256.34501644772314,1.7387851869443693e-07,0.031678806990385056,False,1090.0
GOVT,VGIT,fixed_income,us_bonds,treasury,same_subgroup,2512,0.916745415002508,True,2512,-0.9138308703267057,0.9180096567727978,-0.9119295476706331,0.7840184645690653,0.9538683983184981,-0.743457496044261,168.81477723360547,9.870832684555353e-08,0.014524071477353573,False,1090.0
FTGC,GSG,commodity,broad_commodities,broad,same_subgroup,2512,0.8213745930288068,True,2512,-2.0771302889667136,0.4883255090489191,-2.0767275761130337,0.25397492813051914,0.9600795439113126,-0.005628057075667492,173.81966826911207,2.8853204270262722e-08,0.08835316449403763,False,1099.0
SCHM,SPMD,equity,us_equity,mid_blend,same_subgroup,2512,0.9816771142256695,True,2512,-1.3491558793838545,0.8144094467349041,-1.3462771530996744,0.6077437164032473,0.942147897461552,-0.41618409965088343,230.6504784725138,3.948333215930688e-08,0.029590027406811714,False,1101.0
GDX,SILJ,commodity,metals,gold__silver,related_subgroup,2512,0.905009278481542,True,2512,-2.354382445398358,0.3467532529328523,-2.3540728240714905,0.15512060982986753,1.0369125996198867,0.9164768608123248,228.05331480976764,1.2756153466852993e-07,0.20682016015052795,False,1115.0
SMH,SOXX,equity,industry,semiconductors,same_subgroup,2512,0.9882370070333135,True,2512,-2.0817590679053786,0.48590487248399505,-2.0889462562740944,0.2489825345012368,1.117948903601027,-0.6303723938860646,253.46408626220136,1.5793332863722753e-07,0.07448740303516388,False,1117.0
EEM,EWT,cross_asset,single_country__international_equity,taiwan__emerging_markets,country_region,2512,0.8506171263878114,True,2512,-1.9644721407466588,0.5469892155431194,-1.9637423324712195,0.30269350847583487,0.3806536695394591,2.334944504025626,150.40256594966127,-1.822307638121856e-08,0.09289474040269852,False,1126.0
AAXJ,EPP,equity,single_country,japan,same_subgroup,2512,0.8117860495184155,True,2512,-1.9348864278960682,0.5622141319568483,-1.9320458384443364,0.3171391097585715,1.047453603289012,0.42192892422937334,164.8936066938645,-1.0174550624242329e-07,0.08045189827680588,False,1130.0
GOVT,IEI,fixed_income,us_bonds,treasury,same_subgroup,2512,0.9019579835529393,True,2512,-0.8830256284251485,0.9228834378944402,-0.8809239183563508,0.7941895206583991,0.9795629124558962,-1.5182597211071176,235.64784034161505,-7.668877799460461e-08,0.01900758035480976,False,1132.0
